"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","MICALL1","C1QTNF1","SLC38A10","CARD10","GRAP2","EIF4A3"
"gsm336215ul",0.49,5.72,4.83,3.61,7.81,3.72,6.78,3.62,8.58,6.25,7.81,4.5,5.8,5.41,1.07,9.92
"gsm336216ul",1.14,4.42,4.24,4.14,8.77,3.63,7.51,3.56,8.01,7.32,8.75,5.4,6.07,5.18,0.38,9.67
"gsm336217ul",2.66,5.03,5.13,0.14,7.9,3.15,5.49,-0.32,8.98,5.17,6.98,5.19,5.44,5.62,0.49,9.35
"gsm336218ul",1.2,6.06,4.3,3.54,7.81,4.49,7.53,4.17,8.53,6.69,7.79,5.54,5.63,5.81,1.2,9.71
"gsm336219ul",-0.32,6.13,4.72,4.64,7.61,3.53,7.38,3.12,7.42,6.55,6.71,4.77,5.43,5.34,0.68,10.03
"gsm336220ul",-0.51,4.53,5.3,1.93,7.73,4.06,6.47,0.85,9.33,6.44,7.72,5.75,6.27,5.83,3.51,9.39
"gsm336221ul",-0.32,3.91,4.19,3.79,7.02,2.62,6.07,3.04,9.58,7.03,7.46,5.38,6.04,5.97,1.07,9.65
"gsm336222ul",-1.32,4.54,4.61,0.14,8.22,2.67,7.04,0.77,8.24,5.68,8.37,4.99,5.77,5.39,2.35,9.83
"gsm336223ul",2.17,3.9,8.77,1.89,7.58,3.76,7.06,3.42,9.17,6.25,8.53,6.23,6.33,6.38,0.58,9.55
"gsm336224ul",0.93,5.66,5.66,4.17,7.94,4.49,7.72,5.7,8.63,6.47,8.69,5.11,5.82,5.03,0.68,9.6
"gsm336225ul",-0.15,5.27,5.31,2.38,8.26,2.97,7.56,4.89,8.56,6.6,8.55,5.82,6.1,5.49,2.07,9.45
"gsm336226ul",-3.32,5.04,6.96,1.49,7.13,6.4,4.82,-0.51,8.47,6.41,8.38,4.99,5.28,4.48,0.49,9.87
"gsm336227ul",0,6.04,6.58,2.56,6.8,3.98,6.04,2.35,9.31,6.49,8.69,5.2,5.81,4.67,3.62,9.57
"gsm336228ul",-1,4.49,4.64,1.14,6.66,5.12,6.68,2.7,8.25,7.06,8.69,4.73,5.68,4.01,3.64,9.33
"gsm336229ul",-1.32,4.93,5.39,2,7.75,2.8,6.5,2.68,8.73,6.54,8.4,5.86,6.04,4.82,1,9.45
"gsm336230ul",-1.32,5.5,5.05,0.77,7.64,2.94,6.11,0.38,8.78,6.38,8.14,5.72,5.61,5.55,1.26,9.75
"gsm336231ul",-2.32,5.14,4.07,2.38,7.23,3.16,6.42,3.38,9,7.15,8.14,5.9,6.05,6.42,1.43,9.6
"gsm336232ul",0.26,4.52,5.62,3.05,7.83,3.61,6.38,2.74,8.66,7.19,8.57,5.41,5.74,5.13,1.49,9.34
"gsm336233ul",-0.32,5.14,5.54,1.2,8.6,4.18,6.71,2.46,8.1,5.38,8.1,6.13,5.49,4.32,3.02,9.44
"gsm336234ul",2.54,5.48,5.04,2.35,7.54,5.18,6.5,1.14,7.94,5.44,7.94,5.89,5.28,4.86,1.49,9.97
