"","TYPE","ASPSCR1","BET1L","CBX2","CBX7","CCDC57","CYTH4","FASN","GRIP1","HMGA2","KDELR3","PYCR1","RAC3","SOCS3","TH","TNRC6B","ZNF750"
"gsm336208ul","UL",6.53,6.69,5.68,7.71,3.7,4.86,6.35,4.03,3.26,8.66,7.7,5.7,4.64,5.2,6.53,0.77
"gsm336209ul","UL",6.5,6.61,5.59,8.4,3.66,5.16,6.37,3.6,3.72,8.18,7.58,4.49,6.01,5.48,7.63,2
"gsm336210ul","UL",6.26,6.33,5.88,8.15,4.26,4.62,5.53,4.1,3.04,8.53,7.57,5.48,4.71,4.58,6.73,-1.74
"gsm336211ul","UL",6.84,6.73,5.52,8.63,3.85,5.12,6.07,3.74,3.22,7.62,6.53,3.35,4.05,4.83,6.71,-1.74
"gsm336212ul","UL",6.97,6.17,5.64,8.75,4.47,5.01,6.14,3.71,2.69,7.51,6.76,3.05,4.18,4.85,6.27,-0.32
"gsm336213ul","UL",5.62,6.41,6.02,7.03,4.75,5.12,5.85,4.51,4.15,8.83,6.75,3.26,4.8,3.86,7.04,1.54
"gsm336214ul","UL",7.89,6.41,5.46,9.11,4.09,5.13,5.94,3.94,3.04,7.61,7.36,2.29,3.76,4.29,6.26,-1.74
"gsm336215ul","UL",6.25,6.28,5.72,8.58,4.13,5.1,5.43,3.72,2.83,7.81,6.78,3.61,4.83,3.62,6.48,0.49
"gsm336216ul","UL",7.32,7.01,4.42,8.01,4.26,4.94,6.13,3.63,2.34,8.77,7.51,4.14,4.24,3.56,6.19,1.14
"gsm336217ul","UL",5.17,6.45,5.03,8.98,3.8,5.07,4.64,3.15,1.69,7.9,5.49,0.14,5.13,-0.32,6.62,2.66
"gsm336218ul","UL",6.69,6.45,6.06,8.53,4.66,5.19,5.23,4.49,2.88,7.81,7.53,3.54,4.3,4.17,7.74,1.2
"gsm336219ul","UL",6.55,6.33,6.13,7.42,3.53,4.65,5.89,3.53,7.46,7.61,7.38,4.64,4.72,3.12,6.43,-0.32
"gsm336220ul","UL",6.44,6.36,4.53,9.33,4.37,5.17,5.14,4.06,2.69,7.73,6.47,1.93,5.3,0.85,6.12,-0.51
"gsm336221ul","UL",7.03,6.18,3.91,9.58,4.37,5.16,5.33,2.62,2.68,7.02,6.07,3.79,4.19,3.04,6.64,-0.32
